DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - São Paulo;;;;;;;
Casos Prováveis por Município infecção e Raça;;;;;;;
Período:2014;;;;;;;
Município infecção;Ign/Branco;Branca;Preta;Amarela;Parda;Indigena;Total
110002 Ariquemes;-;1;-;-;-;-;1
110008 Costa Marques;-;1;-;-;-;-;1
110012 Ji-Paraná;-;2;-;-;-;-;2
110014 Nova Brasilândia D'Oeste;-;1;-;-;-;-;1
110020 Porto Velho;-;2;-;-;-;-;2
130260 Manaus;1;4;-;-;1;-;6
150060 Altamira;-;1;-;-;-;-;1
150140 Belém;2;2;-;-;1;-;5
150240 Castanhal;-;1;-;-;-;-;1
150543 Ourilândia do Norte;-;1;-;-;-;-;1
150810 Tucuruí;-;1;-;-;-;-;1
160027 Laranjal do Jari;-;-;-;-;1;-;1
170100 Ananás;-;-;-;-;1;-;1
170200 Araguaçu;-;1;-;-;-;-;1
171665 Pequizeiro;-;1;-;-;-;-;1
210660 Matões;1;-;-;-;-;-;1
211130 São Luís;-;-;-;-;1;-;1
211220 Timon;-;1;-;-;-;-;1
211290 Vitória do Mearim;-;-;-;-;1;-;1
220025 Alagoinha do Piauí;-;1;-;-;-;-;1
220100 Arraial;-;-;-;-;1;-;1
220110 Avelino Lopes;-;-;-;-;1;-;1
220277 Colônia do Piauí;-;4;-;-;-;-;4
220370 Esperantina;-;-;-;-;1;-;1
220580 Luzilândia;-;-;-;-;2;-;2
220595 Marcolândia;1;-;-;-;-;-;1
220610 Matias Olímpio;-;1;-;-;-;-;1
220800 Picos;-;1;-;-;-;-;1
220840 Piripiri;-;-;-;-;1;-;1
221100 Teresina;1;3;-;-;2;-;6
230070 Alto Santo;-;1;-;-;-;-;1
230130 Araripe;1;2;-;-;-;-;3
230150 Arneiroz;-;-;-;-;1;-;1
230240 Boa Viagem;1;-;-;-;-;-;1
230250 Brejo Santo;-;1;-;-;-;-;1
230260 Camocim;-;-;-;-;1;-;1
230270 Campos Sales;2;1;-;-;2;-;5
230440 Fortaleza;3;13;-;-;1;-;17
230540 Icó;-;1;-;-;-;-;1
230630 Itapagé;1;-;-;-;-;-;1
230640 Itapipoca;1;-;-;-;-;-;1
230660 Itatira;1;-;-;-;-;-;1
230725 Jijoca de Jericoacoara;1;-;-;-;-;-;1
230730 Juazeiro do Norte;-;2;-;-;2;-;4
230760 Limoeiro do Norte;1;-;-;-;-;-;1
231290 Sobral;-;1;-;-;-;-;1
231330 Tauá;-;2;-;-;2;-;4
230000 Município ignorado - CE;-;1;-;-;-;-;1
240040 Água Nova;-;1;-;-;-;-;1
240570 Jardim do Seridó;-;1;-;-;-;-;1
240710 Macaíba;1;-;-;-;-;-;1
240730 Marcelino Vieira;-;1;-;-;-;-;1
240810 Natal;5;6;-;-;1;-;12
240940 Pau dos Ferros;1;-;-;-;-;-;1
241050 Rafael Fernandes;-;1;-;-;-;-;1
241250 São Miguel;-;1;-;-;-;-;1
241410 Tenente Ananias;-;1;-;-;-;-;1
241480 Vera Cruz;-;-;1;-;-;-;1
250215 Boa Vista;-;1;-;-;-;-;1
250370 Cajazeiras;-;2;-;-;-;-;2
250400 Campina Grande;1;-;-;-;-;-;1
250750 João Pessoa;1;-;-;-;2;-;3
250970 Monteiro;-;1;-;-;2;-;3
251000 Nazarezinho;-;2;-;-;-;-;2
251070 Passagem;1;-;-;-;-;-;1
250070 São João do Rio do Peixe;-;1;-;-;-;-;1
260410 Caruaru;1;2;-;-;1;-;4
260530 Exu;1;-;-;-;-;-;1
260660 Ibimirim;1;2;-;-;-;-;3
260720 Ipojuca;1;-;-;-;-;-;1
260860 Lagoa do Ouro;-;-;-;-;1;-;1
261010 Palmeirina;-;1;-;-;-;-;1
261080 Pedra;-;-;-;-;1;-;1
261110 Petrolina;-;1;-;-;1;-;2
261160 Recife;3;2;1;-;3;-;9
261390 Serra Talhada;-;1;-;-;-;-;1
261450 Surubim;-;-;-;-;1;-;1
261460 Tabira;1;-;-;-;-;-;1
261540 Toritama;-;-;-;-;1;-;1
270030 Arapiraca;-;1;-;-;-;-;1
270040 Atalaia;-;-;-;-;1;-;1
270170 Capela;-;-;-;-;1;-;1
270235 Craíbas;-;-;-;-;1;-;1
270430 Maceió;2;4;-;-;2;-;8
270610 Ouro Branco;-;1;-;-;-;-;1
270630 Palmeira dos Índios;-;-;-;-;2;-;2
270910 Taquarana;-;1;-;-;-;-;1
270915 Teotônio Vilela;-;1;-;-;-;-;1
270000 Município ignorado - AL;-;-;1;-;-;-;1
280020 Aquidabã;-;1;-;-;-;-;1
280030 Aracaju;2;-;-;-;1;-;3
280300 Itabaianinha;1;2;-;-;-;-;3
280480 Nossa Senhora do Socorro;-;1;-;-;-;-;1
280680 São Domingos;-;-;1;-;-;-;1
290250 Baianópolis;-;1;-;-;-;-;1
290390 Bom Jesus da Lapa;-;-;-;-;1;-;1
290560 Camacan;-;-;-;-;1;-;1
290680 Cansanção;-;-;-;-;2;-;2
291080 Feira de Santana;1;-;1;-;-;-;2
291360 Ilhéus;-;-;-;-;1;-;1
291370 Inhambupe;-;1;-;-;-;-;1
291480 Itabuna;-;2;-;-;1;-;3
291535 Itaguaçu da Bahia;1;-;-;-;-;-;1
291640 Itapetinga;-;-;-;-;1;-;1
291650 Itapicuru;-;-;-;-;1;-;1
291720 Ituaçu;-;1;-;-;-;-;1
291750 Jacobina;-;1;-;-;1;-;2
291840 Juazeiro;1;1;-;-;-;-;2
292100 Mata de São João;1;-;-;-;-;-;1
292120 Miguel Calmon;-;1;-;-;-;-;1
292150 Monte Santo;-;-;-;-;1;-;1
292160 Morpará;-;1;-;-;-;-;1
292350 Palmeiras;-;-;-;-;1;-;1
292470 Piripá;-;1;-;-;-;-;1
292525 Ponto Novo;1;-;-;-;-;-;1
292530 Porto Seguro;1;3;-;-;-;-;4
292670 Rio de Contas;-;1;-;-;-;-;1
292740 Salvador;6;8;2;-;6;-;22
293010 Senhor do Bonfim;-;1;-;-;-;-;1
293060 Serrolândia;-;1;-;-;-;-;1
293100 Tanhaçu;-;-;-;-;1;-;1
293305 Várzea da Roça;1;-;-;-;-;-;1
293310 Várzea do Poço;-;1;-;-;-;-;1
293360 Xique-Xique;-;-;-;-;1;-;1
290000 Município ignorado - BA;-;-;1;-;-;-;1
310160 Alfenas;2;2;-;-;-;-;4
310400 Araxá;-;1;-;-;-;-;1
310420 Arcos;1;-;-;-;-;-;1
310620 Belo Horizonte;2;8;-;-;-;-;10
310800 Bom Sucesso;-;1;-;-;-;-;1
310855 Brasilândia de Minas;-;1;-;-;-;-;1
310860 Brasília de Minas;-;1;-;-;-;-;1
311060 Cambuí;-;-;1;-;-;-;1
311110 Campina Verde;1;1;-;-;-;-;2
311120 Campo Belo;1;5;-;-;-;-;6
311230 Capelinha;1;-;-;-;-;-;1
311280 Capitólio;-;1;-;-;-;-;1
311400 Carmo da Mata;2;1;-;-;-;-;3
311440 Carmo do Rio Claro;-;1;-;-;-;-;1
311455 Carneirinho;-;-;-;-;1;-;1
311490 Casa Grande;1;-;-;-;-;-;1
311510 Cássia;-;-;-;-;1;-;1
311530 Cataguases;1;-;-;-;-;-;1
311550 Caxambu;-;1;-;-;-;-;1
311610 Chapada do Norte;-;-;1;-;-;-;1
311770 Conceição do Rio Verde;-;1;-;-;-;-;1
311940 Coronel Fabriciano;-;-;-;-;1;-;1
312120 Delfinópolis;1;3;-;-;-;-;4
312160 Diamantina;-;1;-;-;-;-;1
312230 Divinópolis;1;4;-;-;-;-;5
312510 Extrema;-;1;-;-;-;-;1
312700 Fronteira;-;4;-;-;-;-;4
312710 Frutal;1;1;1;1;2;-;6
312830 Guaranésia;-;1;-;-;-;-;1
312870 Guaxupé;1;-;-;-;-;-;1
312970 Ibiraci;-;-;-;-;1;-;1
313240 Itajubá;-;3;-;-;-;-;3
