DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - São Paulo;;;;;;;;;
Casos Prováveis por Município infecção e Class. Final;;;;;;;;;
Período:2014;;;;;;;;;
Município infecção;Ign/Branco;Dengue Clássico;Dengue com complicações;Febre Hemorrágica do Dengue;Dengue;Dengue com sinais de alarme;Dengue grave;Inconclusivo;Total
110002 Ariquemes;-;-;-;-;1;-;-;-;1
110008 Costa Marques;-;-;-;-;1;-;-;-;1
110012 Ji-Paraná;-;-;-;-;2;-;-;-;2
110014 Nova Brasilândia D'Oeste;-;-;-;-;1;-;-;-;1
110020 Porto Velho;-;-;-;-;2;-;-;-;2
130260 Manaus;-;-;-;-;6;-;-;-;6
150060 Altamira;-;-;-;-;1;-;-;-;1
150140 Belém;-;1;-;-;4;-;-;-;5
150240 Castanhal;-;-;-;-;1;-;-;-;1
150543 Ourilândia do Norte;-;-;-;-;-;-;-;1;1
150810 Tucuruí;-;-;-;-;1;-;-;-;1
160027 Laranjal do Jari;-;-;-;-;1;-;-;-;1
170100 Ananás;-;-;-;-;1;-;-;-;1
170200 Araguaçu;-;-;-;-;1;-;-;-;1
171665 Pequizeiro;-;-;-;-;1;-;-;-;1
210660 Matões;-;-;-;-;1;-;-;-;1
211130 São Luís;-;-;-;-;1;-;-;-;1
211220 Timon;-;-;-;-;1;-;-;-;1
211290 Vitória do Mearim;-;1;-;-;-;-;-;-;1
220025 Alagoinha do Piauí;-;-;-;-;1;-;-;-;1
220100 Arraial;-;-;-;-;1;-;-;-;1
220110 Avelino Lopes;-;-;-;-;1;-;-;-;1
220277 Colônia do Piauí;-;-;-;-;4;-;-;-;4
220370 Esperantina;-;1;-;-;-;-;-;-;1
220580 Luzilândia;-;1;-;-;1;-;-;-;2
220595 Marcolândia;-;-;-;-;1;-;-;-;1
220610 Matias Olímpio;-;-;-;-;1;-;-;-;1
220800 Picos;-;-;-;-;1;-;-;-;1
220840 Piripiri;-;-;-;-;1;-;-;-;1
221100 Teresina;-;-;-;-;6;-;-;-;6
230070 Alto Santo;-;-;-;-;1;-;-;-;1
230130 Araripe;-;-;-;-;3;-;-;-;3
230150 Arneiroz;-;-;-;-;1;-;-;-;1
230240 Boa Viagem;-;-;-;-;1;-;-;-;1
230250 Brejo Santo;-;1;-;-;-;-;-;-;1
230260 Camocim;-;-;-;-;1;-;-;-;1
230270 Campos Sales;-;-;-;-;5;-;-;-;5
230440 Fortaleza;-;1;-;-;16;-;-;-;17
230540 Icó;-;-;-;-;1;-;-;-;1
230630 Itapagé;-;-;-;-;1;-;-;-;1
230640 Itapipoca;-;-;-;-;1;-;-;-;1
230660 Itatira;-;-;-;-;1;-;-;-;1
230725 Jijoca de Jericoacoara;-;-;-;-;1;-;-;-;1
230730 Juazeiro do Norte;-;-;-;-;4;-;-;-;4
230760 Limoeiro do Norte;-;-;-;-;1;-;-;-;1
231290 Sobral;-;1;-;-;-;-;-;-;1
231330 Tauá;-;1;-;-;1;1;-;1;4
230000 Município ignorado - CE;-;-;-;-;1;-;-;-;1
240040 Água Nova;-;1;-;-;-;-;-;-;1
240570 Jardim do Seridó;-;-;-;-;1;-;-;-;1
240710 Macaíba;-;-;-;-;1;-;-;-;1
240730 Marcelino Vieira;-;-;-;-;1;-;-;-;1
240810 Natal;-;-;-;-;12;-;-;-;12
240940 Pau dos Ferros;-;-;-;-;1;-;-;-;1
241050 Rafael Fernandes;-;-;-;-;1;-;-;-;1
241250 São Miguel;-;-;-;-;1;-;-;-;1
241410 Tenente Ananias;-;-;-;-;1;-;-;-;1
241480 Vera Cruz;-;-;-;-;1;-;-;-;1
250215 Boa Vista;-;-;-;-;1;-;-;-;1
250370 Cajazeiras;-;-;-;-;2;-;-;-;2
250400 Campina Grande;-;-;-;-;1;-;-;-;1
250750 João Pessoa;-;-;-;-;3;-;-;-;3
250970 Monteiro;-;1;-;-;2;-;-;-;3
251000 Nazarezinho;-;-;-;-;2;-;-;-;2
251070 Passagem;-;-;-;-;1;-;-;-;1
250070 São João do Rio do Peixe;-;1;-;-;-;-;-;-;1
260410 Caruaru;-;1;-;-;3;-;-;-;4
260530 Exu;-;-;-;-;1;-;-;-;1
260660 Ibimirim;-;2;-;-;1;-;-;-;3
260720 Ipojuca;-;-;-;-;1;-;-;-;1
260860 Lagoa do Ouro;-;-;-;-;1;-;-;-;1
261010 Palmeirina;-;-;-;-;1;-;-;-;1
261080 Pedra;-;-;-;-;1;-;-;-;1
261110 Petrolina;-;-;-;-;2;-;-;-;2
261160 Recife;-;-;-;-;8;1;-;-;9
261390 Serra Talhada;-;-;-;-;1;-;-;-;1
261450 Surubim;-;-;-;-;1;-;-;-;1
261460 Tabira;-;-;-;-;1;-;-;-;1
261540 Toritama;-;-;-;-;1;-;-;-;1
270030 Arapiraca;-;-;-;-;1;-;-;-;1
270040 Atalaia;-;-;-;-;1;-;-;-;1
270170 Capela;-;-;-;-;1;-;-;-;1
270235 Craíbas;-;-;-;-;1;-;-;-;1
270430 Maceió;-;1;-;-;6;1;-;-;8
270610 Ouro Branco;-;-;-;-;1;-;-;-;1
270630 Palmeira dos Índios;-;-;-;-;2;-;-;-;2
270910 Taquarana;-;-;-;-;1;-;-;-;1
270915 Teotônio Vilela;-;-;-;-;1;-;-;-;1
270000 Município ignorado - AL;-;-;-;-;1;-;-;-;1
280020 Aquidabã;-;-;-;-;1;-;-;-;1
280030 Aracaju;-;-;-;-;3;-;-;-;3
280300 Itabaianinha;-;-;-;-;3;-;-;-;3
280480 Nossa Senhora do Socorro;-;-;-;-;1;-;-;-;1
280680 São Domingos;-;-;-;-;1;-;-;-;1
290250 Baianópolis;-;-;-;-;1;-;-;-;1
290390 Bom Jesus da Lapa;-;-;-;-;1;-;-;-;1
290560 Camacan;-;-;-;-;1;-;-;-;1
290680 Cansanção;-;1;-;-;1;-;-;-;2
291080 Feira de Santana;-;1;-;-;1;-;-;-;2
291360 Ilhéus;-;-;-;-;1;-;-;-;1
291370 Inhambupe;-;-;-;-;1;-;-;-;1
291480 Itabuna;-;-;-;-;3;-;-;-;3
291535 Itaguaçu da Bahia;-;-;-;-;1;-;-;-;1
291640 Itapetinga;-;-;-;-;1;-;-;-;1
291650 Itapicuru;-;-;-;-;1;-;-;-;1
291720 Ituaçu;-;-;-;-;1;-;-;-;1
291750 Jacobina;-;-;-;-;2;-;-;-;2
291840 Juazeiro;-;-;-;-;2;-;-;-;2
292100 Mata de São João;-;-;-;-;1;-;-;-;1
292120 Miguel Calmon;-;1;-;-;-;-;-;-;1
292150 Monte Santo;-;-;-;-;1;-;-;-;1
292160 Morpará;-;-;-;-;1;-;-;-;1
292350 Palmeiras;-;-;-;-;1;-;-;-;1
292470 Piripá;-;-;-;-;1;-;-;-;1
292525 Ponto Novo;-;-;-;-;1;-;-;-;1
292530 Porto Seguro;-;-;-;-;4;-;-;-;4
292670 Rio de Contas;-;-;-;-;1;-;-;-;1
292740 Salvador;-;2;-;-;20;-;-;-;22
293010 Senhor do Bonfim;-;-;-;-;1;-;-;-;1
293060 Serrolândia;-;-;-;-;1;-;-;-;1
293100 Tanhaçu;-;-;-;-;1;-;-;-;1
293305 Várzea da Roça;-;-;-;-;1;-;-;-;1
293310 Várzea do Poço;-;-;-;-;1;-;-;-;1
293360 Xique-Xique;-;-;-;-;1;-;-;-;1
290000 Município ignorado - BA;-;-;-;-;1;-;-;-;1
310160 Alfenas;-;-;-;-;4;-;-;-;4
310400 Araxá;-;-;-;-;1;-;-;-;1
310420 Arcos;-;-;-;-;1;-;-;-;1
310620 Belo Horizonte;-;2;-;-;8;-;-;-;10
310800 Bom Sucesso;-;-;-;-;1;-;-;-;1
310855 Brasilândia de Minas;-;-;-;-;1;-;-;-;1
310860 Brasília de Minas;-;-;-;-;1;-;-;-;1
311060 Cambuí;-;-;-;-;1;-;-;-;1
