DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - São Paulo;;;;;
Casos Prováveis por Município infecção e Sexo;;;;;
Período:2014;;;;;
Município infecção;Em Branco;Ignorado;Masculino;Feminino;Total
110002 Ariquemes;-;-;1;-;1
110008 Costa Marques;-;-;1;-;1
110012 Ji-Paraná;-;-;1;1;2
110014 Nova Brasilândia D'Oeste;-;-;-;1;1
110020 Porto Velho;-;-;2;-;2
130260 Manaus;-;-;4;2;6
150060 Altamira;-;-;1;-;1
150140 Belém;-;-;3;2;5
150240 Castanhal;-;-;1;-;1
150543 Ourilândia do Norte;-;-;1;-;1
150810 Tucuruí;-;-;1;-;1
160027 Laranjal do Jari;-;-;-;1;1
170100 Ananás;-;-;1;-;1
170200 Araguaçu;-;-;-;1;1
171665 Pequizeiro;-;-;-;1;1
210660 Matões;-;-;1;-;1
211130 São Luís;-;-;1;-;1
211220 Timon;-;-;-;1;1
211290 Vitória do Mearim;-;-;-;1;1
220025 Alagoinha do Piauí;-;-;-;1;1
220100 Arraial;-;-;-;1;1
220110 Avelino Lopes;-;-;-;1;1
220277 Colônia do Piauí;-;-;3;1;4
220370 Esperantina;-;-;1;-;1
220580 Luzilândia;-;-;1;1;2
220595 Marcolândia;-;-;-;1;1
220610 Matias Olímpio;-;-;-;1;1
220800 Picos;-;-;-;1;1
220840 Piripiri;-;-;-;1;1
221100 Teresina;-;-;4;2;6
230070 Alto Santo;-;-;1;-;1
230130 Araripe;-;-;2;1;3
230150 Arneiroz;-;-;1;-;1
230240 Boa Viagem;-;-;1;-;1
230250 Brejo Santo;-;-;-;1;1
230260 Camocim;-;-;1;-;1
230270 Campos Sales;-;-;3;2;5
230440 Fortaleza;-;-;10;7;17
230540 Icó;-;-;1;-;1
230630 Itapagé;-;-;1;-;1
230640 Itapipoca;-;-;1;-;1
230660 Itatira;-;-;-;1;1
230725 Jijoca de Jericoacoara;-;-;-;1;1
230730 Juazeiro do Norte;-;-;2;2;4
230760 Limoeiro do Norte;-;-;1;-;1
231290 Sobral;-;-;-;1;1
231330 Tauá;-;-;2;2;4
230000 Município ignorado - CE;-;-;-;1;1
240040 Água Nova;-;-;1;-;1
240570 Jardim do Seridó;-;-;1;-;1
240710 Macaíba;-;-;1;-;1
240730 Marcelino Vieira;-;-;-;1;1
240810 Natal;-;-;6;6;12
240940 Pau dos Ferros;-;-;1;-;1
241050 Rafael Fernandes;-;-;-;1;1
241250 São Miguel;-;-;1;-;1
241410 Tenente Ananias;-;-;1;-;1
241480 Vera Cruz;-;-;-;1;1
250215 Boa Vista;-;-;-;1;1
250370 Cajazeiras;-;-;-;2;2
250400 Campina Grande;-;-;1;-;1
250750 João Pessoa;-;-;3;-;3
250970 Monteiro;-;-;1;2;3
251000 Nazarezinho;-;-;1;1;2
251070 Passagem;-;-;-;1;1
250070 São João do Rio do Peixe;-;-;1;-;1
260410 Caruaru;-;-;1;3;4
260530 Exu;-;-;1;-;1
260660 Ibimirim;-;-;2;1;3
260720 Ipojuca;-;-;1;-;1
260860 Lagoa do Ouro;-;-;1;-;1
261010 Palmeirina;-;-;1;-;1
261080 Pedra;-;-;-;1;1
261110 Petrolina;-;-;-;2;2
261160 Recife;-;-;7;2;9
261390 Serra Talhada;-;-;-;1;1
261450 Surubim;-;-;1;-;1
261460 Tabira;-;-;-;1;1
261540 Toritama;-;-;-;1;1
270030 Arapiraca;-;-;-;1;1
270040 Atalaia;-;-;-;1;1
270170 Capela;-;-;-;1;1
270235 Craíbas;-;-;-;1;1
270430 Maceió;-;-;4;4;8
270610 Ouro Branco;-;-;-;1;1
270630 Palmeira dos Índios;-;-;1;1;2
270910 Taquarana;-;-;1;-;1
270915 Teotônio Vilela;-;-;1;-;1
270000 Município ignorado - AL;-;-;1;-;1
280020 Aquidabã;-;-;-;1;1
280030 Aracaju;-;-;-;3;3
280300 Itabaianinha;-;-;1;2;3
280480 Nossa Senhora do Socorro;-;-;-;1;1
280680 São Domingos;-;-;1;-;1
290250 Baianópolis;-;-;1;-;1
290390 Bom Jesus da Lapa;-;-;-;1;1
290560 Camacan;-;-;-;1;1
290680 Cansanção;-;-;1;1;2
291080 Feira de Santana;-;-;1;1;2
291360 Ilhéus;-;-;1;-;1
291370 Inhambupe;-;-;1;-;1
291480 Itabuna;-;-;2;1;3
291535 Itaguaçu da Bahia;-;-;-;1;1
291640 Itapetinga;-;-;-;1;1
291650 Itapicuru;-;-;-;1;1
291720 Ituaçu;-;-;1;-;1
291750 Jacobina;-;-;2;-;2
291840 Juazeiro;-;-;-;2;2
292100 Mata de São João;-;-;-;1;1
292120 Miguel Calmon;-;-;-;1;1
292150 Monte Santo;-;-;1;-;1
292160 Morpará;-;-;-;1;1
292350 Palmeiras;-;-;1;-;1
292470 Piripá;-;-;-;1;1
292525 Ponto Novo;-;-;-;1;1
292530 Porto Seguro;-;-;2;2;4
292670 Rio de Contas;-;-;1;-;1
292740 Salvador;-;-;10;12;22
293010 Senhor do Bonfim;-;-;-;1;1
293060 Serrolândia;-;-;-;1;1
293100 Tanhaçu;-;-;-;1;1
293305 Várzea da Roça;-;-;1;-;1
293310 Várzea do Poço;-;-;-;1;1
293360 Xique-Xique;-;-;-;1;1
290000 Município ignorado - BA;-;-;-;1;1
310160 Alfenas;-;-;3;1;4
310400 Araxá;-;-;1;-;1
310420 Arcos;-;-;-;1;1
310620 Belo Horizonte;-;-;5;5;10
310800 Bom Sucesso;-;-;1;-;1
310855 Brasilândia de Minas;-;-;1;-;1
310860 Brasília de Minas;-;-;1;-;1
311060 Cambuí;-;-;1;-;1
311110 Campina Verde;-;-;-;2;2
311120 Campo Belo;-;-;2;4;6
311230 Capelinha;-;-;1;-;1
311280 Capitólio;-;-;-;1;1
311400 Carmo da Mata;-;-;3;-;3
311440 Carmo do Rio Claro;-;-;-;1;1
311455 Carneirinho;-;-;1;-;1
311490 Casa Grande;-;-;-;1;1
311510 Cássia;-;-;-;1;1
311530 Cataguases;-;-;-;1;1
311550 Caxambu;-;-;1;-;1
311610 Chapada do Norte;-;-;-;1;1
311770 Conceição do Rio Verde;-;-;1;-;1
311940 Coronel Fabriciano;-;-;1;-;1
312120 Delfinópolis;-;-;2;2;4
312160 Diamantina;-;-;1;-;1
312230 Divinópolis;-;-;3;2;5
312510 Extrema;-;-;-;1;1
312700 Fronteira;-;-;1;3;4
312710 Frutal;-;-;4;2;6
312830 Guaranésia;-;-;-;1;1
312870 Guaxupé;-;-;1;-;1
312970 Ibiraci;-;-;1;-;1
313240 Itajubá;-;-;1;2;3
313420 Ituiutaba;-;-;1;-;1
313440 Iturama;-;-;1;-;1
313620 João Monlevade;-;-;-;1;1
313630 João Pinheiro;-;-;1;-;1
313670 Juiz de Fora;-;-;-;1;1
313695 Juvenília;-;-;-;1;1
313780 Lambari;-;-;-;1;1
313820 Lavras;-;-;3;-;3
313840 Leopoldina;-;-;1;-;1
314070 Mateus Leme;-;-;1;-;1
314110 Matozinhos;-;-;1;-;1
314140 Medina;-;-;1;-;1
314270 Montalvânia;-;-;-;1;1
314340 Monte Sião;-;-;1;-;1
314330 Montes Claros;-;-;1;2;3
314350 Morada Nova de Minas;-;-;1;-;1
314410 Muzambinho;-;-;1;-;1
314520 Nova Serrana;-;-;-;1;1
314700 Paracatu;-;-;2;1;3
314730 Paraisópolis;-;-;1;-;1
314760 Passa Quatro;-;-;-;2;2
314790 Passos;-;-;7;13;20
314800 Patos de Minas;-;-;1;1;2
314990 Perdões;-;-;-;2;2
315070 Pirajuba;-;-;1;-;1
315100 Piranguinho;-;-;-;1;1
315140 Pitangui;-;-;-;1;1
315150 Piumhi;-;-;1;-;1
315160 Planura;-;-;-;1;1
315180 Poços de Caldas;-;-;3;1;4
315210 Ponte Nova;-;-;-;1;1
315250 Pouso Alegre;-;-;3;3;6
